UNIQUE_IDENTIFIER,LOCAL_DEPARTURE_AT,LOCAL_ACTUAL_DEPARTURE_AT,LOCAL_ARRIVAL_AT,LOCAL_ACTUAL_ARRIVAL_AT,GMT_DEPARTURE_AT,GMT_ACTUAL_DEPARTURE_AT,GMT_ARRIVAL_AT,GMT_ACTUAL_ARRIVAL_AT,DEPARTURE_AIRPORT_CODE,ARRIVAL_AIRPORT_CODE,AIRLINE_CODE,DELAY_MINS,ARRIVAL_STATUS,CREATED_AT,UPDATED_AT
CX-250-20221013-LHR-HKG,2022-10-13 18:20:00.000,,2022-10-14 13:45:00.000,,2022-10-13 17:20:00.000,,2022-10-14 05:45:00.000,,LHR,HKG,CX,,OT,2022-10-04 23:56:23.000,2022-10-13 05:21:43.000
CX-250-20221013-LHR-HKG,2022-10-13 18:20:00.000,2022-10-13 18:24:00.000,2022-10-14 13:45:00.000,,2022-10-13 17:20:00.000,2022-10-13 17:24:00.000,2022-10-14 05:45:00.000,,LHR,HKG,CX,,EY,2022-10-04 23:56:23.000,2022-10-13 17:49:10.000
CX-250-20221013-LHR-HKG,2022-10-13 18:20:00.000,2022-10-13 18:24:00.000,2022-10-14 13:45:00.000,,2022-10-13 17:20:00.000,2022-10-13 17:24:00.000,2022-10-14 05:45:00.000,,LHR,HKG,CX,,NS,2022-10-04 23:56:23.000,2022-10-13 18:51:51.000
IB-5391-20221130-VLC-PMI,2022-11-30 22:15:00.000,,2022-11-30 23:10:00.000,,2022-11-30 21:15:00.000,,2022-11-30 22:10:00.000,,VLC,PMI,IB,,EY,2022-11-22 01:49:52.000,2022-11-30 19:14:13.000
IB-5391-20221130-VLC-PMI,2022-11-30 22:15:00.000,,2022-11-30 23:10:00.000,,2022-11-30 21:15:00.000,,2022-11-30 22:10:00.000,,VLC,PMI,IB,,EY,2022-11-22 01:49:52.000,2022-11-30 19:29:05.000
EY-4390-20211009-LPA-MAD,2021-10-09 10:00:00.000,,2021-10-09 13:45:00.000,,2021-10-09 09:00:00.000,,2021-10-09 11:45:00.000,,LPA,MAD,EY,,OT,2021-09-30 23:47:17.000,2021-10-08 10:58:54.000
AM-6902-20211221-MAD-FRA,2021-12-21 07:05:00.000,,2021-12-21 09:50:00.000,,2021-12-21 06:05:00.000,,2021-12-21 08:50:00.000,,MAD,FRA,AM,,,2021-12-13 00:33:45.000,2021-12-13 00:33:45.000
AM-6902-20211221-MAD-FRA,2021-12-21 07:05:00.000,2021-12-21 07:03:00.000,2021-12-21 09:50:00.000,,2021-12-21 06:05:00.000,2021-12-21 06:03:00.000,2021-12-21 08:50:00.000,,MAD,FRA,AM,,EY,2021-12-13 00:33:45.000,2021-12-21 06:22:04.000
LS-1204-20211120-AGP-BHX,2021-11-20 15:30:00.000,,2021-11-20 17:35:00.000,,2021-11-20 14:30:00.000,,2021-11-20 17:35:00.000,,AGP,BHX,LS,,,2021-11-12 01:41:16.000,2021-11-12 01:41:16.000
KL-988-20220801-LCY-AMS,2022-08-01 10:00:00.000,,2022-08-01 12:10:00.000,,2022-08-01 09:00:00.000,,2022-08-01 10:10:00.000,,LCY,AMS,KL,,,2022-07-24 00:40:19.000,2022-08-01 04:34:06.000
